# Model list: 380 models
# Format: model_id tri_start tri_end name
0 0 4 unnamed_2_23513_7471
1 4 6 unnamed_2_23513_7475
2 6 878 n0_lr0_agg_merge_agave_plant_01_0
3 878 894 n0_lr0_agg_merge_antenna_card_0
4 894 1082 n0_lr0_agg_merge_black_simple_0
5 1082 1190 n0_lr0_agg_merge_crates_dishes_color_0
6 1190 1472 n0_lr0_agg_merge_crates_dishes_color_1
7 1472 32482 n0_lr0_agg_merge_dust_300d_color_0
8 32482 53274 n0_lr0_agg_merge_dust_300d_wheel_color_0
9 53274 61456 n0_lr0_agg_merge_dust_ac_unit_color_0
10 61456 76452 n0_lr0_agg_merge_dust_ac_unit_color_1
11 76452 76822 n0_lr0_agg_merge_dust_access_panel_01_color_0
12 76822 77602 n0_lr0_agg_merge_dust_access_panel_02_color_0
13 77602 89372 n0_lr0_agg_merge_dust_arch_01_color_0
14 89372 102556 n0_lr0_agg_merge_dust_arch_01_pattern_color_0
15 102556 107216 n0_lr0_agg_merge_dust_arch_02_color_0
16 107216 108120 n0_lr0_agg_merge_dust_arch_03_0
17 108120 128150 n0_lr0_agg_merge_dust_awning_02_0
18 128150 147728 n0_lr0_agg_merge_dust_awning_02_1
19 147728 151296 n0_lr0_agg_merge_dust_awning_fabric_01_0
20 151296 153748 n0_lr0_agg_merge_dust_awning_fabric_01_1
21 153748 182306 n0_lr0_agg_merge_dust_awning_fabric_frame_01_0
22 182306 185074 n0_lr0_agg_merge_dust_awning_fabric_frame_01_1
23 185074 186874 n0_lr0_agg_merge_dust_awning_fabric_ripped_01_0
24 186874 196414 n0_lr0_agg_merge_dust_bicycle_color_0
25 196414 276390 n0_lr0_agg_merge_dust_breeze_blocks_01_0
26 276390 279938 n0_lr0_agg_merge_dust_breeze_blocks_01_1
27 279938 288230 n0_lr0_agg_merge_dust_car_wreck_color_0
28 288230 292578 n0_lr0_agg_merge_dust_car_wreck_interior_color_0
29 292578 293796 n0_lr0_agg_merge_dust_cart_cloth_color_0
